reservationId	financeFieldId	type	name	title	value	total	isIncludedInTotalPrice	isOverriddenByUser	isMandatory	isDeleted
55816464	229030716	commissions	hostChannelFee	Host channel fee	24.92	24.92	0	0	0	0
55816464	229030717	totals	totalPriceFromChannel	Total price from channel	141.14	141.14	0	0	0	0
55803010	228968520	totals	totalPaid	Total paid	337.05	337.05	0	0	0	0
55803010	228968521	commissions	hostChannelFee	Host channel fee	54.2	54.2	0	0	0	0
55803010	228968522	commissions	otaPaymentProcessingFee	OTA payment processing fee	4.72	4.72	0	0	0	0
55803010	228968523	fee	cleaningFee	Cleaning fee	40.0	40.0	1	0	1	0
55803010	228968524	tax	vat	VAT / GST	25.35	25.35	1	0	1	0
55803010	228968525	tax	cityTax	City / Tourism tax	18.25	18.25	1	0	1	0
55803010	228968526	accommodation	baseRate	Base rate	253.45	253.45	1	0	1	0
55803010	228968527	totals	totalPriceFromChannel	Total price from channel	337.05	337.05	0	0	0	0
54421471	222404687	totals	totalPaid	Total paid	244.53	244.53	0	0	0	0
54421471	222404688	fee	cleaningFee	Cleaning fee	40.0	40.0	1	0	1	0
54421471	222404689	tax	salesTax	Sales tax	13.73	13.73	1	0	1	0
54421471	222404690	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	13.73	13.73	0	0	0	0
54421471	222404691	totals	airbnbPayoutSum	Airbnb payout sum	187.88	187.88	0	0	0	0
54421471	222404692	commissions	cancellationHostFee	Cancellation host fee	42.92	42.92	0	0	0	0
54421471	222404693	accommodation	baseRate	Base rate	190.8	190.8	1	0	1	0
54421471	222404694	commissions	hostChannelFee	Host channel fee	42.92	42.92	0	0	0	0
54421471	222404695	totals	totalPriceFromChannel	Total price from channel	244.53	244.53	0	0	0	0
55785594	228872878	totals	totalPaid	Total paid	409.88	409.88	0	0	0	0
55785594	228872879	fee	cleaningFee	Cleaning fee	63.0	63.0	1	0	1	0
55785594	228872880	tax	salesTax	Sales tax	15.88	15.88	1	0	1	0
55785594	228872881	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	15.88	15.88	0	0	0	0
55785594	228872882	totals	airbnbPayoutSum	Airbnb payout sum	320.72	320.72	0	0	0	0
55785594	228872883	commissions	cancellationHostFee	Cancellation host fee	73.28	73.28	0	0	0	0
55785594	228872884	accommodation	baseRate	Base rate	331.0	331.0	1	0	1	0
55785594	228872885	commissions	hostChannelFee	Host channel fee	73.28	73.28	0	0	0	0
55785594	228872886	totals	totalPriceFromChannel	Total price from channel	409.88	409.88	0	0	0	0
55728634	228575121	totals	totalPaid	Total paid	560.35	560.35	0	0	0	0
55728634	228575122	commissions	hostChannelFee	Host channel fee	89.98	89.98	0	0	0	0
55728634	228575123	commissions	otaPaymentProcessingFee	OTA payment processing fee	7.84	7.84	0	0	0	0
55728634	228575124	fee	cleaningFee	Cleaning fee	55.0	55.0	1	0	1	0
55728634	228575125	tax	vat	VAT / GST	43.12	43.12	1	0	1	0
55728634	228575126	tax	cityTax	City / Tourism tax	31.05	31.05	1	0	1	0
